date_key,year_day,year_week,year_month,year_quarter,day_of_month_no,is_week_day,day_name_full,day_name_short,month_name_full,month_name_short,month_no,week_no,quarter_no,year_no,century_no,first_day_of_week,first_day_of_month,first_day_of_quarter,first_day_of_year,last_day_of_week,last_day_of_month,last_day_of_quarter,last_day_of_year,last_working_day_of_month,last_working_day_of_quarter,last_working_day_of_year,most_recent_working_day,day_of_week_no,day_of_quarter_no,day_of_year_no,year_no_cumulative,quarter_no_cumulative,month_no_cumulative,week_no_cumulative,day_no_cumulative,lunar_uk_is_full_moon,lunar_uk_is_total_eclipse,lunar_uk_is_partial_eclipse,is_uk_holiday,uk_holiday_name,meta_process_time
2021-12-01,2021D335,2021W48,2021M12,2021Q4,1,1,Wednesday,Wed,December,Dec,12,48,4,2021,20,2021-11-29,2021-12-01,2021-10-01,2021-10-01,2021-12-05,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-01,3,62,335,121,487,1463,6361,44529,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-02,2021D336,2021W48,2021M12,2021Q4,2,1,Thursday,Thu,December,Dec,12,48,4,2021,20,2021-11-29,2021-12-01,2021-10-01,2021-10-01,2021-12-05,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-02,4,63,336,121,487,1463,6361,44530,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-03,2021D337,2021W48,2021M12,2021Q4,3,1,Friday,Fri,December,Dec,12,48,4,2021,20,2021-11-29,2021-12-01,2021-10-01,2021-10-01,2021-12-05,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-03,5,64,337,121,487,1463,6361,44531,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-04,2021D338,2021W48,2021M12,2021Q4,4,0,Saturday,Sat,December,Dec,12,48,4,2021,20,2021-11-29,2021-12-01,2021-10-01,2021-10-01,2021-12-05,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-03,6,65,338,121,487,1463,6361,44532,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-05,2021D339,2021W48,2021M12,2021Q4,5,0,Sunday,Sun,December,Dec,12,48,4,2021,20,2021-11-29,2021-12-01,2021-10-01,2021-10-01,2021-12-05,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-03,7,66,339,121,487,1463,6361,44533,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-06,2021D340,2021W49,2021M12,2021Q4,6,1,Monday,Mon,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-06,1,67,340,121,487,1463,6362,44534,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-07,2021D341,2021W49,2021M12,2021Q4,7,1,Tuesday,Tue,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-07,2,68,341,121,487,1463,6362,44535,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-08,2021D342,2021W49,2021M12,2021Q4,8,1,Wednesday,Wed,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-08,3,69,342,121,487,1463,6362,44536,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-09,2021D343,2021W49,2021M12,2021Q4,9,1,Thursday,Thu,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-09,4,70,343,121,487,1463,6362,44537,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-10,2021D344,2021W49,2021M12,2021Q4,10,1,Friday,Fri,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-10,5,71,344,121,487,1463,6362,44538,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-11,2021D345,2021W49,2021M12,2021Q4,11,0,Saturday,Sat,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-10,6,72,345,121,487,1463,6362,44539,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
2021-12-12,2021D346,2021W49,2021M12,2021Q4,12,0,Sunday,Sun,December,Dec,12,49,4,2021,20,2021-12-06,2021-12-01,2021-10-01,2021-10-01,2021-12-12,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-31,2021-12-10,7,73,346,121,487,1463,6362,44540,0,0,0,0,,2022-08-29 09:01:26.503255 UTC
